Id;StartDate;ProformaNo;InvoiceDate;InvoiceNumber;CustomerName;CustomerCountry;SalesPeople;TotalPrice;Currency;State;LastModifiedDate
3023;2017-07-17;2215;22.08.2017;3164;Mir Car srl;ITALY;2284ecc5-24c0-4129-8476-4c8c442b2af4;10,853.65;1;1;
3024;2017-07-17;2218;;;Mina Taşıt;TÜRKİYE;79a14514-381f-472e-a9ef-8e2d03fb5651;0;0;1;
3025;2017-07-14;2213;;;BİLHAN OTO;;5017c88e-0ce0-4bc1-a362-4222fa152183;88,707.00;0;1;
3026;2017-07-13;2211;;;RECEP BARHAN;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;5,745.19;0;1;
3027;2017-07-12;2210;;;TURKOKAR;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;7,200.00;0;1;
3028;2017-07-11;2203;;;AYDINLAR OTOMOTİV-FERAMUZ AYDIN;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;2,375.00;0;1;
3029;2017-07-11;2204;;;MERCAN MOTORLU ARAÇLAR;;5017c88e-0ce0-4bc1-a362-4222fa152183;2,550.00;0;1;
3030;2017-07-11;2205;;;BİLHAN OTO;;5017c88e-0ce0-4bc1-a362-4222fa152183;0;0;1;
3031;2017-07-10;2202;;;ATA DIŞ TİCARET HASAN SALTAN;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0;0;1;
3032;2017-07-07;2198;;;ASM OTOMOTİV METAL TOPTAN YEDEK PARÇA TİCARET ŞAKİR CEBECİ;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;575;0;1;
3033;2017-07-07;2200;7.07.2017;3065;IDIR S.P.A;ITALY;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;32,560.00;1;1;
3034;2017-07-05;2194;;;MERCAN MOTORLU ARAÇLAR;;5017c88e-0ce0-4bc1-a362-4222fa152183;3,922.50;0;1;
3035;2017-07-05;2195;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;312.5;0;1;
3036;2017-07-05;2196;18.08.2017;3160;auto-france.;;614413df-5596-4d01-a932-c870a26ed87e;79,935.17;1;1;
3037;2017-07-05;2197;;;Mina Taşıt;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;25,374.15;0;1;
3038;2017-07-04;2188;23.08.2017;3168;C.D.A. S.p.A.;ITALY;2284ecc5-24c0-4129-8476-4c8c442b2af4;47,635.00;1;1;
3039;2017-07-04;2189;;;KINA OTOMOTİV TİCARET SANAYİİ  A.Ş.;TÜRKİYE;79a14514-381f-472e-a9ef-8e2d03fb5651;39,194.92;0;1;
3040;2017-07-04;2190;;;MERCAN MOTORLU ARAÇLAR;;79a14514-381f-472e-a9ef-8e2d03fb5651;8,716.88;0;1;
3041;2017-07-04;2191;;;MERCAN MOTORLU ARAÇLAR;;79a14514-381f-472e-a9ef-8e2d03fb5651;4,870.00;0;1;
3042;2017-07-04;2192;;;MERCAN MOTORLU ARAÇLAR;;79a14514-381f-472e-a9ef-8e2d03fb5651;10,250.00;0;1;
3043;2017-07-03;2184;;;AYDINLAR OTOMOTİV-FERAMUZ AYDIN;TÜRKİYE;f3cf853e-729e-4b82-a947-12a30f766479;400;0;1;
3044;2017-07-03;2186;;;OTO RAS MADENİ YAĞ & FİLTRE;;5017c88e-0ce0-4bc1-a362-4222fa152183;213.11;0;1;
3045;2017-07-03;2187;;;ARAS OTOMOTİV-ERHAN DEMİRCİKÖYÜ;TÜRKİYE;f3cf853e-729e-4b82-a947-12a30f766479;1,845.00;0;1;
3046;2017-06-29;2172;;;ÖZFLAŞ OTO RECEP DİNİPAK;;f3cf853e-729e-4b82-a947-12a30f766479;387.5;0;1;
3047;2017-06-29;2174;18.09.2017;3222;CAD 1OPE S.A.;ALGERIA;f00e7ade-f6c4-464b-a327-028389cd0f80;60,193.15;1;1;
3048;2017-06-29;2175;21.07.2017;3082;PARTS & LUBRICANTS SRL;ITALY;614413df-5596-4d01-a932-c870a26ed87e;53,730.00;1;1;
3049;2017-06-29;2176;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;7,419.00;0;1;
3050;2017-06-29;2178;;;İSMAİL OTOMOTİV;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;31,916.65;0;1;
3051;2017-06-29;2179;;;ERTORUN OTOMOTİV-MUZAFFER ERTORUN;TÜRKİYE;f3cf853e-729e-4b82-a947-12a30f766479;1,505.00;0;1;
3052;2017-06-29;2181;;;MTN OTOMOTİV-GÖKSEL YILMAZ;TÜRKİYE;f3cf853e-729e-4b82-a947-12a30f766479;6,080.00;0;1;
3053;2017-06-29;2182;;;E.R.K. MOTORLU ARAÇLAR SAN. VE TİC. LTD. ŞTİ.;;f3cf853e-729e-4b82-a947-12a30f766479;14,830.00;0;1;
3054;2017-06-28;2164;;;YILMAZ OTO MARKET MEHMET VEYSEL URUÇAY;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;652.5;0;1;
3055;2017-06-28;2165;;;AYDINLAR OTOMOTİV-FERAMUZ AYDIN;TÜRKİYE;f3cf853e-729e-4b82-a947-12a30f766479;360;0;1;
3056;2017-06-28;2166;;;KULAÇ OTO SAN. TİC. LTD. ŞTİ.;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0;0;1;
3057;2017-06-28;2167;12.07.2017;3067;Mir Car srl;ITALY;2284ecc5-24c0-4129-8476-4c8c442b2af4;5,356.10;1;1;
